122912,Avengers: Infinity War - Part I (2018),Action|Adventure|Sci-Fi
182715,Annihilation (2018),Adventure|Mystery|Sci-Fi|Thriller
183011,The Commuter (2018),Crime|Drama|Mystery|Thriller
183295,Insidious: The Last Key (2018),Horror|Mystery|Thriller
183611,Game Night (2018),Action|Comedy|Crime|Horror
183635,Maze Runner: The Death Cure (2018),Action|Mystery|Sci-Fi|Thriller
183897,Isle of Dogs (2018),Animation|Comedy
183911,The Clapper (2018),Comedy
183959,Tom Segura: Disgraceful (2018),Comedy
184015,When We First Met (2018),Comedy
184253,The Cloverfield Paradox (2018),Horror|Mystery|Sci-Fi|Thriller
184471,Tomb Raider (2018),Action|Adventure|Fantasy
184641,Fullmetal Alchemist 2018 (2017),Action|Adventure|Fantasy
184791,Fred Armisen: Standup for Drummers (2018),Comedy
184931,Death Wish (2018),Action|Crime|Drama|Thriller
184987,A Wrinkle in Time (2018),Adventure|Children|Fantasy|Sci-Fi
184997,"Love, Simon (2018)",Comedy|Drama
185029,A Quiet Place (2018),Drama|Horror|Thriller
185031,Alpha (2018),Adventure|Thriller
185033,I Kill Giants (2018),Drama|Fantasy|Thriller
185435,"Game Over, Man! (2018)",Action|Comedy
185473,Blockers (2018),Comedy
185585,Pacific Rim: Uprising (2018),Action|Fantasy|Sci-Fi
186587,Rampage (2018),Action|Adventure|Sci-Fi
187031,Jurassic World: Fallen Kingdom (2018),Action|Adventure|Drama|Sci-Fi|Thriller
187541,Incredibles 2 (2018),Action|Adventure|Animation|Children
187593,Deadpool 2 (2018),Action|Comedy|Sci-Fi
187595,Solo: A Star Wars Story (2018),Action|Adventure|Children|Sci-Fi
187717,Won't You Be My Neighbor? (2018),Documentary
188189,Sorry to Bother You (2018),Comedy|Fantasy|Sci-Fi
188301,Ant-Man and the Wasp (2018),Action|Adventure|Comedy|Fantasy|Sci-Fi
188675,Dogman (2018),Crime|Drama
188751,Mamma Mia: Here We Go Again! (2018),Comedy|Romance
188797,Tag (2018),Comedy
188833,The Man Who Killed Don Quixote (2018),Adventure|Comedy|Fantasy
189043,Boundaries (2018),Comedy|Drama
189111,Spiral (2018),Documentary
189333,Mission: Impossible - Fallout (2018),Action|Adventure|Thriller
189381,SuperFly (2018),Action|Crime|Thriller
189713,BlacKkKlansman (2018),Comedy|Crime|Drama
190183,The Darkest Minds (2018),Sci-Fi|Thriller
193587,Bungo Stray Dogs: Dead Apple (2018),Action|Animation
