id,title,genres
93510,21 Jump Street (2012),Action|Comedy|Crime
89759,"Separation, A (Jodaeiye Nader az Simin) (2011)",Drama
93297,Act of Valor (2012),Action|Thriller|War
68554,Angels & Demons (2009),Crime|Drama|Mystery|Thriller
72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
79132,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
5388,Insomnia (2002),Action|Crime|Drama|Mystery|Thriller
77561,Iron Man 2 (2010),Action|Adventure|Sci-Fi|Thriller|IMAX
87222,Kung Fu Panda 2 (2011),Action|Adventure|Animation|Children|Comedy|IMAX
31878,Kung Fu Hustle (Gong fu) (2004),Action|Comedy
82167,Love and Other Drugs (2010),Comedy|Drama|Romance
95105,Madagascar 3: Europe's Most Wanted (2012),Adventure|Animation|Children|Comedy|IMAX
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
8972,National Treasure (2004),Action|Adventure|Drama|Mystery|Thriller
37736,Oliver Twist (2005),Drama
88672,Our Idiot Brother (2011),Comedy
90647,Puss in Boots (2011),Adventure|Animation|Comedy|Fantasy|IMAX
84944,Rango (2011),Action|Adventure|Animation|Children|Comedy|Western
88744,Rise of the Planet of the Apes (2011),Action|Drama|Sci-Fi|Thriller
77866,Robin Hood (2010),Action|Adventure|Drama|Romance|War
79293,Salt (2010),Action|Thriller
49530,Blood Diamond (2006),Action|Adventure|Crime|Drama|Thriller|War
81537,Due Date (2010),Comedy
88932,Final Destination 5 (2011),Horror|Thriller|IMAX
99728,Gangster Squad (2013),Action|Crime|Drama
73017,Sherlock Holmes (2009),Action|Crime|Mystery|Thriller
74458,Shutter Island (2010),Drama|Mystery|Thriller
59369,Taken (2008),Action|Crime|Drama|Thriller
91500,The Hunger Games (2012),Action|Adventure|Drama|Sci-Fi|Thriller
3994,Unbreakable (2000),Drama|Sci-Fi
1370,Die Hard 2 (1990),Action|Adventure|Thriller
53972,Live Free or Die Hard (2007),Action|Adventure|Crime|Thriller
4718,American Pie 2 (2001),Comedy
